locus_tag,product,tier,predicted_call,confidence,evidence,measured_essential,ess_score,noness_score,conservation,n_paralogs,gene_len_aa,leading,mobile_dist_kb,n_sisters,max_sisters,ovote_ess,ovote_non,dnds,cross_validated
RS_RS00085,winged helix-turn-helix domain-containing protein,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2049250461049048,0.7853402296469433,0.0,0.0,280,1,35.79,3,3,0,3,,True
RS_RS00090,DUF3617 domain-containing protein,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,1,0.2403394879982764,0.7661612642341886,0.0,0.0,155,1,35.01,3,3,0,3,0.28309516106529764,False
RS_RS00095,2-oxo-tetronate isomerase,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.2803475392091603,0.7259989301577235,0.074074074074074,1.0,263,0,34.31,3,3,5,42,0.22863339348697745,True
RS_RS00100,response regulator,UNRESOLVED,unknown,0,N_redundancy|E_dnds,1,0.6869387459172226,0.27638479063652044,0.4210526315789473,11.0,211,0,33.54,3,3,222,162,0.09899352667838762,False
RS_RS00105,cache domain-containing protein,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_long_lagging|N_ortho|P_rogue|P_conditional,0,0.1609597924986698,0.8420610738573358,0.0,0.0,488,0,32.5,3,3,0,13,,True
RS_RS00110,carbon starvation CstA family protein,ROGUE_SUSPECT,unknown,0,N_score|E_dnds|P_rogue,0,0.1400023718644053,0.8855728841388315,0.04,0.0,687,1,30.44,3,3,2,41,0.08564824825730981,True
RS_RS00115,YbdD/YjiX family protein,UNRESOLVED,unknown,0,E_geometry|E_dnds,0,0.5113133684905167,0.5011746244947937,0.2352941176470588,0.0,65,1,29.26,3,3,6,20,0.031175630467079718,False
RS_RS00120,tetratricopeptide repeat protein,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.2151366601323248,0.7651337830831241,0.0,0.0,253,0,28.7,3,3,0,6,0.1451965104776987,True
RS_RS00125,phasin family protein,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.2411721105227049,0.7941681450040811,0.0,0.0,174,0,27.89,3,3,0,3,0.21438997565925808,True
RS_RS00130,methionine biosynthesis protein MetW,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2689762178043142,0.7424727829290853,0.05,0.0,216,0,27.08,3,3,1,23,0.31133607193503937,False
RS_RS00135,homoserine O-succinyltransferase MetX,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.2609670722656817,0.7572325730337015,0.1071428571428571,0.0,404,0,26.16,3,3,4,41,0.12201433787342239,True
RS_RS00140,NAD-dependent succinate-semialdehyde dehydrogenase,CONDITIONAL_SUSPECT,unknown,0,N_score|N_redundancy|N_long_lagging|P_conditional,0,0.2681649901843148,0.7194111371388646,0.125,13.0,498,0,24.52,3,3,140,410,0.12517953242273572,True
RS_RS00145,4-aminobutyrate--2-oxoglutarate transaminase,UNRESOLVED,unknown,0,N_redundancy,1,0.5314215917306794,0.43960922852324485,0.3658536585365853,6.0,427,0,23.13,3,3,114,165,0.1430122697711918,False
RS_RS00150,PLP-dependent aminotransferase family protein,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_redundancy,0,0.1716389216840549,0.804641314842558,0.027027027027027,7.0,510,1,21.61,3,3,12,260,,True
RS_RS00155,nucleoid occlusion factor SlmA,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.3515650339808253,0.6230655883481886,0.1428571428571428,0.0,219,0,20.32,3,3,4,15,0.11808657315150893,True
RS_RS00160,pyrimidine 5'-nucleotidase,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.4166537125231487,0.5233506212173815,0.2307692307692307,0.0,288,0,19.52,3,3,6,25,,True
RS_RS00165,acetylglutamate kinase,UNRESOLVED,unknown,0,E_dnds,1,0.6792170646511286,0.3295070285876336,0.475,0.0,311,0,18.63,3,3,23,22,0.08560901698882438,False
RS_RS00170,sigma-70 family RNA polymerase sigma factor,UNRESOLVED,unknown,0,E_cons_core|E_geometry|F_core_redundant,1,0.7799552923961443,0.15967942596559478,0.5526315789473685,6.0,198,1,17.69,3,3,228,202,0.14010362170256493,True
RS_RS00175,zf-HC2 domain-containing protein,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.2564409628024601,0.7318744474404602,0.0,0.0,72,1,17.27,3,3,2,2,0.31130707019378057,False
RS_RS00180,cysteine-rich CWC family protein,CONFIDENT_ESSENTIAL,essential,2,E_geometry|N_score|N_pangenome_some|E_ortho,1,0.2435621032120065,0.586347567538836,0.0,0.0,81,1,17.04,2,3,2,0,0.4039513793919524,True
RS_RS00185,hypothetical protein,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,1,0.2633471507903561,0.7217867968053505,0.0,0.0,72,0,16.77,3,3,3,1,0.2158993308637388,False
RS_RS00190,copper chaperone PCu(A)C,UNRESOLVED,unknown,0,,0,0.6639616442603149,0.26332510039385937,0.4166666666666667,0.0,168,0,16.36,3,3,19,20,0.28352994282270366,False
RS_RS00195,ATP-binding protein,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.2664848545646878,0.6897667850409835,0.1481481481481481,0.0,449,1,15.3,3,3,5,31,0.20396150936595975,True
RS_RS00200,response regulator transcription factor,UNRESOLVED,unknown,0,E_geometry|E_dnds,0,0.6706386348074556,0.2257282754045021,0.4444444444444444,0.0,193,1,14.29,3,3,14,22,0.05814348760332868,False
RS_RS00205,hypothetical protein,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1645980977087942,0.8663342454696851,0.0,0.0,431,1,13.15,3,3,0,3,0.2748333170964945,True
RS_RS00210,ATP-dependent protease ATPase subunit HslU,ROGUE_SUSPECT,unknown,0,N_score|N_long_lagging|P_rogue|P_conditional,0,0.2255309360199612,0.8140508690353747,0.0833333333333333,0.0,444,0,11.62,3,3,3,39,0.5299086591880235,False
RS_RS00215,ATP-dependent protease subunit HslV,CONFIDENT_NONESSENTIAL,non-essential,1,N_score|E_dnds,0,0.4182001110466554,0.575280197756996,0.1944444444444444,0.0,179,0,10.66,3,3,7,35,0.0900461960392658,True
RS_RS00220,ABC transporter substrate-binding protein,CONDITIONAL_SUSPECT,unknown,0,N_score|N_redundancy|N_long_lagging|P_conditional,0,0.2109159475186425,0.8044900124895803,0.088235294117647,5.0,531,0,9.45,3,3,22,290,0.2827126902155261,True
RS_RS00225,zinc metallochaperone GTPase ZigA,CONDITIONAL_SUSPECT,unknown,0,N_score|N_long_lagging|P_conditional,0,0.3895446888017037,0.5730584686218463,0.2571428571428571,2.0,433,0,7.9,3,3,32,76,0.15187779206411578,True
RS_RS00230,RNA polymerase-binding protein DksA,UNRESOLVED,unknown,0,E_cons_core,0,0.7514245542663632,0.24498440087694606,0.5,0.0,140,0,6.97,3,3,25,28,0.11874221868408585,False
RS_RS00235,CobW family GTP-binding protein,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.420494238648645,0.6111717457651737,0.2571428571428571,2.0,363,0,5.81,3,3,32,76,0.3196027036535114,True
RS_RS00240,Fur family transcriptional regulator,UNRESOLVED,unknown,0,E_cons_core,1,0.9293367773346968,0.03361198413772779,0.8461538461538461,2.0,173,0,5.02,3,3,78,31,0.16975437721813977,True
RS_RS00245,lactonase family protein,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_mobile,0,0.1967077970677504,0.7866737620523646,0.0434782608695652,1.0,419,0,4.04,3,3,1,34,0.27992080924276197,True
RS_RS00250,FAD-dependent oxidoreductase,CONFIDENT_NONESSENTIAL,non-essential,4,N_score|N_mobile|N_long_lagging|N_ortho|P_rogue|P_conditional,0,0.148863739174286,0.8653426312417932,0.0,0.0,509,0,2.64,3,3,0,13,0.1999128376941475,True
RS_RS00255,class I SAM-dependent rRNA methyltransferase,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_mobile|N_ortho|P_rogue,0,0.17054823970177,0.8227140083062489,0.0,0.0,398,0,1.13,3,3,0,37,0.16726272914547954,True
RS_RS00260,tyrosine recombinase XerC,UNRESOLVED,unknown,0,N_mobile,1,0.5713538160422909,0.35239130064366514,0.3902439024390244,2.0,330,0,0.0,3,3,47,67,0.2751263170798477,False
RS_RS00265,DUF484 family protein,ROGUE_SUSPECT,unknown,0,N_score|N_mobile|P_rogue,1,0.2616475301524487,0.7232937898228612,0.064516129032258,0.0,238,0,0.86,3,3,2,34,1.4135128394326324,True
RS_RS00270,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,CONFIDENT_ESSENTIAL,essential,2,E_cons_core|N_mobile|E_dnds,1,0.9320244059876284,0.04597069576946738,0.9666666666666668,0.0,489,0,1.96,3,3,34,1,0.09869138640214027,True
RS_RS00275,dienelactone hydrolase family protein,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_mobile|N_ortho|P_rogue,0,0.1852866071391928,0.766454032448765,0.0,0.0,326,0,3.26,3,3,0,9,,True
RS_RS00280,hypothetical protein,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_mobile|N_ortho|P_rogue,0,0.2310128722476406,0.7717999219889837,0.0,0.0,167,0,3.98,3,3,0,4,0.12081668489713356,True
RS_RS00285,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,UNRESOLVED,unknown,0,E_cons_core,1,0.8603548482187916,0.09330606343805618,0.7894736842105263,1.0,496,0,5.01,3,3,148,15,0.1827745929174045,False
RS_RS00290,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_ortho,1,0.967252448389633,0.018488297713828438,1.0,0.0,100,0,6.0,3,3,33,0,0.2468941014710509,True
RS_RS00295,rod shape-determining protein,CONFIDENT_ESSENTIAL,essential,3,E_cons_core|E_geometry|E_ortho,1,0.9506380531322464,0.02967814784599172,1.0,0.0,348,1,7.15,3,3,46,0,,True
RS_RS00300,rod shape-determining protein MreC,CONFIDENT_ESSENTIAL,essential,3,E_cons_core|E_geometry|E_dnds,1,0.9290860265244484,0.03208684155498181,0.918918918918919,0.0,347,1,8.37,3,3,39,4,0.0599638917526311,True
RS_RS00305,rod shape-determining protein MreD,CONFIDENT_ESSENTIAL,essential,3,E_cons_core|E_geometry|E_dnds,1,0.9194582891325374,0.04769160635625537,0.8214285714285714,0.0,171,1,9.16,3,3,28,5,0.02265238824116154,True
RS_RS00310,penicillin-binding protein 2,UNRESOLVED,unknown,0,E_cons_core,1,0.8812054220115398,0.07547454261960591,0.9473684210526316,0.0,802,1,10.64,3,3,49,3,0.1893472308017599,False
RS_RS00315,rod shape-determining protein RodA,CONFIDENT_ESSENTIAL,essential,4,E_cons_core|E_geometry|E_ortho|E_dnds,1,0.9491782942250152,0.0313791695413877,1.0,1.0,381,1,12.44,3,3,89,0,0.0411676570371665,True
RS_RS00320,AMP-binding protein,CONDITIONAL_SUSPECT,unknown,0,N_score|N_redundancy|N_long_lagging|P_conditional,0,0.215901569351959,0.7937985180279082,0.0975609756097561,9.0,565,0,13.88,3,3,71,377,,True
RS_RS00325,LysR family transcriptional regulator,CONFIDENT_ESSENTIAL,essential,3,E_cons_core|E_geometry|E_dnds|F_core_redundant,1,0.8604127856588288,0.10889595036756976,0.6097560975609756,57.0,313,1,15.66,3,3,1595,667,0.025124139330877107,True
RS_RS00330,DNA topoisomerase III,UNRESOLVED,unknown,0,E_cons_core,1,0.6859260189427381,0.3290826554528946,0.6829268292682927,0.0,878,0,17.54,3,3,61,23,1.3231028343182738,False
RS_RS00335,thioredoxin family protein,CONFIDENT_ESSENTIAL,essential,2,E_score|E_cons_core,1,0.9662814547493512,0.016893524968372906,1.0,0.0,130,0,19.28,3,3,3,3,0.16058863218095493,True
RS_RS00340,DNA-processing protein DprA,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1747847941940185,0.8143447029879941,0.0,0.0,402,0,20.12,3,3,0,42,0.1639095003621763,True
RS_RS00345,LysM peptidoglycan-binding domain-containing protein,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1795793432589662,0.8346309528476119,0.0,0.0,391,0,21.33,3,3,0,20,0.27427771177585775,True
RS_RS00350,peptide deformylase,CONFIDENT_ESSENTIAL,essential,3,E_cons_core|E_geometry|E_dnds,0,0.9437782007456376,0.039269677542212535,0.8974358974358975,0.0,170,1,22.42,3,3,41,7,0.070635257277125,True
RS_RS00355,ArnT family glycosyltransferase,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1206862738795407,0.8799548201549924,0.0,0.0,658,1,23.71,3,3,0,5,0.16808646205533415,True
RS_RS00360,methionyl-tRNA formyltransferase,UNRESOLVED,unknown,0,E_cons_core|E_geometry,1,0.94685671786746,0.023099264738166224,0.9743589743589745,0.0,328,1,22.71,3,3,44,1,0.15299897484586802,True
RS_RS00365,LysE family translocator,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_redundancy,1,0.3754421116532841,0.5798260366458172,0.1621621621621621,6.0,216,1,21.86,3,3,37,230,0.29771202106554856,True
RS_RS00370,zinc metalloprotease HtpX,CONFIDENT_NONESSENTIAL,non-essential,1,E_geometry|N_score|E_dnds,0,0.2949267525370396,0.6946220985155086,0.1176470588235294,0.0,287,1,20.99,3,3,4,39,0.06733567856282531,True
RS_RS00375,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.1781083512807045,0.7997764917462695,0.027027027027027,1.0,442,1,19.8,3,3,2,64,0.19277099925882762,True
RS_RS00380,DUF4390 domain-containing protein,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,1,0.2003929253398011,0.786121553307195,0.0,0.0,270,1,18.72,3,3,2,1,,False
RS_RS00385,sensor histidine kinase,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.3226088972796107,0.6711669470820613,0.3333333333333333,0.0,812,1,17.1,3,3,5,12,0.11991149917032477,True
RS_RS00390,response regulator,CONFIDENT_ESSENTIAL,essential,3,E_cons_core|E_geometry|E_ortho,1,0.9584410915285704,0.022587609980718397,1.0,0.0,240,1,15.49,3,3,8,0,0.13239885052495604,True
RS_RS00405,hypothetical protein,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2463513900249982,0.7686246253862133,0.0,0.0,102,1,11.97,3,3,0,3,0.5963995420625415,True
RS_RS00410,MurR/RpiR family transcriptional regulator,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_redundancy,1,0.305096301486982,0.6362408451503322,0.1333333333333333,4.0,301,1,11.16,3,3,30,90,0.18547507860376256,True
RS_RS00415,aspartate aminotransferase family protein,UNRESOLVED,unknown,0,N_redundancy|E_dnds,1,0.4992233724786794,0.4088305882693792,0.3658536585365853,6.0,451,1,10.01,3,3,114,165,0.09386354791272648,False
RS_RS00420,3-keto-5-aminohexanoate cleavage protein,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.2349308142156563,0.6904333574499293,0.0588235294117647,0.0,282,1,8.91,3,3,2,34,,False
RS_RS00425,transporter substrate-binding domain-containing protein,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_redundancy,1,0.3027293211299736,0.7322344566633753,0.1111111111111111,11.0,302,1,7.96,3,3,58,429,0.22808847666292764,True
RS_RS00430,multifunctional CCA addition/repair protein,UNRESOLVED,unknown,0,E_cons_core,1,0.9146482776493636,0.04383214054766866,0.8947368421052632,0.0,430,0,6.86,3,3,36,9,0.26922137487680153,False
RS_RS00435,glutathione S-transferase family protein,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.214352914016432,0.7971862629229934,0.0,0.0,230,0,5.87,3,3,2,47,0.16961051561813897,True
RS_RS00440,complex I NDUFA9 subunit family protein,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_mobile,0,0.2905005559551428,0.6695963434930666,0.131578947368421,0.0,335,0,4.83,3,3,17,80,0.173301082958579,True
RS_RS00445,lytic transglycosylase domain-containing protein,CONFIDENT_NONESSENTIAL,non-essential,4,N_score|N_mobile|N_long_lagging|N_ortho|P_rogue|P_conditional,0,0.1227231564652857,0.8980657583072271,0.0,0.0,651,0,3.19,3,3,0,30,0.16660720666072404,True
RS_RS00450,5-formyltetrahydrofolate cyclo-ligase,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|N_mobile|P_rogue,0,0.2295256303291054,0.709286158561739,0.0263157894736842,0.0,202,1,1.88,3,3,1,43,0.15208888744712704,False
RS_RS00455,TfoX/Sxy family protein,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_mobile|N_ortho|P_rogue,0,0.2297202334553144,0.7230409698739696,0.0,0.0,153,0,1.25,3,3,0,3,,True
RS_RS00460,methylenetetrahydrofolate reductase [NAD(P)H],CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_mobile,0,0.3084012092816985,0.7013783649790469,0.1282051282051282,0.0,277,0,0.6,3,3,5,42,0.10145470207775885,True
RS_RS00465,phage holin family protein,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_mobile|N_ortho|E_dnds|P_rogue,0,0.2494307001867489,0.8185540886167877,0.0,0.0,114,0,0.0,3,3,0,13,0.044103138241997686,True
RS_RS00470,adenosylhomocysteinase,CONFIDENT_ESSENTIAL,essential,2,E_cons_core|N_mobile|E_dnds,1,0.8469222513966288,0.13868482797738155,0.7575757575757576,0.0,475,0,0.95,3,3,31,8,0.05416090307794586,True
RS_RS00475,hypothetical protein,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_pangenome_some|N_mobile,0,0.2327206418212394,0.8598132309156072,0.0,0.0,184,0,2.19,1,3,0,1,0.36069871039747436,True
RS_RS25230,L%2CD-transpeptidase,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_pangenome_some|N_mobile,0,0.2456360765132237,0.8612078868144223,0.0,0.0,144,0,2.67,1,3,0,1,0.4367151782170637,True
RS_RS00480,alkaline phosphatase,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_mobile|N_ortho|P_rogue,0,0.1473903934779159,0.8485407837530294,0.0,0.0,484,1,3.98,3,3,0,3,0.15719405243489218,True
RS_RS00485,alkaline phosphatase,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1510523292416862,0.8454514489353087,0.0,0.0,468,1,5.43,3,3,0,20,0.260718111001192,True
RS_RS00490,hypothetical protein,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2020983885829723,0.7364285430712948,0.0,0.0,233,1,6.18,3,3,0,3,0.3092069870716485,True
RS_RS00495,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,UNRESOLVED,unknown,0,E_geometry|E_dnds,1,0.4818256264550823,0.4041791048784438,0.3142857142857143,0.0,302,1,5.31,3,3,19,25,0.09086083208839228,False
RS_RS00500,hypothetical protein,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|N_mobile|P_rogue,0,0.2346892240517372,0.7403358897782601,0.0,0.0,121,1,4.64,3,3,1,2,0.49040303006551916,False
RS_RS00525,VOC family protein,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_mobile,0,0.2984651550165112,0.7390653808169361,0.0714285714285714,1.0,160,0,2.97,3,3,3,22,0.1927872969232993,True
RS_RS00530,thiamine phosphate synthase,CONFIDENT_ESSENTIAL,essential,2,E_cons_core|N_mobile|E_ortho,1,0.9474816954366768,0.021557726153365542,1.0,0.0,384,0,2.03,3,3,5,0,,True
RS_RS00535,thiazole synthase,UNRESOLVED,unknown,0,N_mobile,1,0.4524339582967059,0.4717582164291939,0.2702702702702703,0.0,276,0,1.04,3,3,14,29,0.12025032745472099,False
RS_RS00540,IS630-like element ISRso5 family transposase,CONFIDENT_NONESSENTIAL,non-essential,2,E_cons_core|E_geometry|N_pangenome_strong|N_mobile,1,0.6689840676702968,0.3449443244293032,0.5,1.0,364,1,0.0,0,3,4,3,,False
RS_RS00545,sulfur carrier protein ThiS,CONFIDENT_ESSENTIAL,essential,2,E_cons_core|N_mobile|E_dnds,1,0.91900383656556,0.04187187028198167,0.7857142857142857,0.0,76,0,0.66,3,3,26,7,0.038645579473566866,True
RS_RS00550,FAD-dependent oxidoreductase,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_redundancy|N_mobile,1,0.421884754545833,0.49838895092045316,0.2631578947368421,8.0,380,0,1.34,3,3,123,244,0.16775773265521451,False
RS_RS00555,phosphomethylpyrimidine synthase ThiC,ROGUE_SUSPECT,unknown,0,N_score|N_mobile|N_long_lagging|E_dnds|P_rogue|P_conditional,0,0.172700480257153,0.8660296363006765,0.081081081081081,0.0,632,0,2.87,3,3,3,39,0.07830281881073207,False
RS_RS00560,NAD(P)H-dependent flavin oxidoreductase,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_mobile,0,0.2889872131567519,0.6794725679398277,0.15625,3.0,403,1,4.84,3,3,14,72,,True
RS_RS00565,putative Ig domain-containing protein,CONFIDENT_NONESSENTIAL,non-essential,4,N_score|N_mobile|N_long_lagging|N_ortho|P_rogue|P_conditional,0,0.0270283232883821,0.9828089011913059,0.0,0.0,1673,0,3.29,3,3,0,5,0.3053696392960853,True
RS_RS00570,phage tail protein,CONFIDENT_NONESSENTIAL,non-essential,3,E_geometry|N_score|N_mobile|N_ortho,0,0.22144082810869,0.7950614340449642,0.0,2.0,183,1,0.0,3,3,0,36,0.1783428630707095,True
RS_RS00575,phage tail protein,CONFIDENT_NONESSENTIAL,non-essential,3,E_geometry|N_score|N_mobile|N_ortho,0,0.2208141415056071,0.7691724488345524,0.0,2.0,178,1,0.0,3,3,0,36,0.4189362346890144,True
RS_RS00580,phage tail protein,CONFIDENT_NONESSENTIAL,non-essential,3,E_geometry|N_score|N_mobile|N_ortho,0,0.2214561730184726,0.7622086886758433,0.0,2.0,174,1,0.0,3,3,0,36,0.14245647462326855,True
RS_RS00585,DUF6916 family protein,CONFIDENT_NONESSENTIAL,non-essential,3,E_geometry|N_score|N_mobile|N_ortho|P_rogue,0,0.2385990042460203,0.7389764770793673,0.0,0.0,101,1,0.49,3,3,0,4,0.2466496735673668,True
RS_RS00590,GNAT family N-acetyltransferase,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_mobile,0,0.3177230842185949,0.6406741961986256,0.1111111111111111,0.0,165,1,0.91,3,3,2,20,0.20496487183344572,True
RS_RS00595,acyl-CoA dehydrogenase family protein,ROGUE_SUSPECT,unknown,0,N_score|N_mobile|P_rogue,0,0.1578334697123755,0.820406906131583,0.0476190476190476,0.0,558,1,2.08,3,3,1,25,0.23596637698518205,False
RS_RS00600,amino acid ABC transporter substrate-binding protein,CONFIDENT_NONESSENTIAL,non-essential,3,E_geometry|N_score|N_mobile|N_ortho|P_rogue,0,0.1898897169980709,0.833835920679049,0.0,0.0,300,1,3.74,3,3,0,3,0.21095008056216816,True
RS_RS00605,GMC family oxidoreductase,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_long_lagging|N_ortho|P_conditional,0,0.1358534766906927,0.8667968650555739,0.0,1.0,575,0,5.07,3,3,0,62,,True
