locus_tag,gene_name,true_essential,v15_call,v15_conf,failure_mode,n_total_rules,n_patched_rules,patched_fraction,patched_rule_names,sensitivity_label
JCVISYN3A_0140,tdk,1,1,1.0,catalysis_silenced,4,0,0.0,,no_patched_dependency
JCVISYN3A_0141,prfA,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0142,prmC,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0143,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0145,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0144,tsaC,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0146,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0147,clsA,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0148,rpsL,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0149,rpsG,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0150,,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0151,,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0163,alaRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0164,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0165,amiC,1,1,0.9,translation_stall,19,0,0.0,,no_patched_dependency
JCVISYN3A_0166,,1,1,0.9,translation_stall,19,0,0.0,,no_patched_dependency
JCVISYN3A_0167,amiE,1,1,0.9,translation_stall,19,0,0.0,,no_patched_dependency
JCVISYN3A_0168,amiF,1,1,0.9,translation_stall,19,0,0.0,,no_patched_dependency
JCVISYN3A_0169,amiA,1,1,0.9,translation_stall,19,0,0.0,,no_patched_dependency
JCVISYN3A_0195,potC,1,1,0.9,translation_stall,1,0,0.0,,no_patched_dependency
JCVISYN3A_0196,potB,1,1,0.9,translation_stall,1,0,0.0,,no_patched_dependency
JCVISYN3A_0197,potA,1,1,0.9,translation_stall,1,0,0.0,,no_patched_dependency
JCVISYN3A_0198,rplT,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0199,rpmI,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0200,infC,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0201,def,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0202,rsmD,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0203,gmk,1,1,1.0,catalysis_silenced,4,0,0.0,,no_patched_dependency
JCVISYN3A_0213,eno,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0215,yrrK; yqgF,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0214,pgpA,1,1,1.0,catalysis_silenced,1,0,0.0,,no_patched_dependency
JCVISYN3A_0216,hptA,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0218,glpK,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0220,pfkA,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0222,thrRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0221,pyk,1,1,1.0,catalysis_silenced,18,0,0.0,,no_patched_dependency
JCVISYN3A_0227,pdhC,0,0,0.0,none,2,0,0.0,,no_patched_dependency
JCVISYN3A_0228,lpdA,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0229,pta,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0233,ptsI,1,1,0.8,essential_metabolite_depletion,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0230,ackA,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0234,crr,1,1,0.8,essential_metabolite_depletion,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0235,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0238,rpsD,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0239,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0240,thiI,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0247,ysxC; yihA,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0248,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0249,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0250,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0253,greA,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0254,uvrC,1,1,0.8,dna_replication_blocked,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0257,rnjB,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0259,nadK,1,1,1.0,catalysis_silenced,4,0,0.0,,no_patched_dependency
JCVISYN3A_0260,valRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0262,rpe,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0263,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0264,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0270,tsaE; yjeE,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0271,tsaB; yeaZ,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0281,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0282,proRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0285,lepA; EF4,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0283,rnhA,1,1,0.8,transcription_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0286,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0287,aspRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0288,hisRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0289,rbfA,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0290,truB,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0291,ribF,1,1,0.8,essential_metabolite_depletion,3,0,0.0,,no_patched_dependency
JCVISYN3A_0294,rpsO,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0296,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0297,infB,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0298,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0299,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0300,nusA,1,1,0.8,transcription_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0301,rimP,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0302,fre,1,1,0.8,essential_metabolite_depletion,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0303,polC,1,1,0.8,dna_replication_blocked,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0304,cdsA,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0305,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0308,trpRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0314,ecfS,1,1,0.9,translation_stall,1,0,0.0,,no_patched_dependency
JCVISYN3A_0316,tkt,1,1,1.0,catalysis_silenced,4,0,0.0,,no_patched_dependency
JCVISYN3A_0315,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0317,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0325,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0326,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0327,scpA,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0328,scpB,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0329,rluB,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0330,dgk,0,0,0.0,none,6,0,0.0,,no_patched_dependency
JCVISYN3A_0332,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0338,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0344,ppa,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0345,ecfS,1,1,0.9,translation_stall,1,0,0.0,,no_patched_dependency
JCVISYN3A_0347,cmk,1,1,1.0,catalysis_silenced,4,0,0.0,,no_patched_dependency
JCVISYN3A_0348,engA,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0346,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0350,hupA,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0352,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0353,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0359,,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0360,ffh,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0362,rpsP,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0361,rlmH,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0363,rimM,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0364,trmD,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0365,rplS,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0366,ylqF; rbgA,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0371,ywjA,1,1,0.8,membrane_integrity,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0372,ywjA,1,1,0.8,membrane_integrity,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0373,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0375,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0376,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0377,obgE,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0378,nadE,1,1,0.8,essential_metabolite_depletion,2,0,0.0,,no_patched_dependency
JCVISYN3A_0379,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0380,nadD,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0381,mtnN,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0382,dnk,0,0,0.0,none,6,0,0.0,,no_patched_dependency
JCVISYN3A_0387,mnmA,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0388,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0389,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0390,fmt,1,1,0.8,translation_stall,1,0,0.0,,no_patched_dependency
JCVISYN3A_0391,efp,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0392,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0394,lon,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0398,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0399,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0401,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0400,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0402,ybeY,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0403,era,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0404,recO,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0405,glyRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0406,dnaG,1,1,0.8,dna_replication_blocked,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0407,rpoD,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0408,trmK; yqfN,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0410,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0409,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0411,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0412,,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0413,apt,1,1,0.8,essential_metabolite_depletion,2,0,0.0,,no_patched_dependency
JCVISYN3A_0415,smc,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0414,relA,1,1,0.8,essential_metabolite_depletion,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0416,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0418,,1,1,0.8,transcription_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0420,fakA,1,1,0.9,translation_stall,2,0,0.0,,no_patched_dependency
JCVISYN3A_0419,plsX,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0421,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0422,rpmB,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0424,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0425,pstS,1,1,0.9,translation_stall,1,0,0.0,,no_patched_dependency
JCVISYN3A_0426,pstA,1,1,0.9,translation_stall,1,0,0.0,,no_patched_dependency
JCVISYN3A_0427,pstB,1,1,0.9,translation_stall,1,0,0.0,,no_patched_dependency
JCVISYN3A_0428,phoU,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0429,ftsY,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0430,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0431,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0432,metK,1,1,0.8,essential_metabolite_depletion,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0433,cutC,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0434,rlmFO,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0435,manA,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0437,yhaM,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0438,hinT,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0439,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0440,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0441,iscS,1,1,0.8,essential_metabolite_depletion,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0442,iscU,1,1,0.8,essential_metabolite_depletion,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0443,yggN,1,1,0.8,essential_metabolite_depletion,1,0,0.0,,no_patched_dependency
JCVISYN3A_0444,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0445,pgi,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0448,,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0447,dut,1,1,0.8,essential_metabolite_depletion,1,0,0.0,,no_patched_dependency
JCVISYN3A_0451,gapdh,1,1,0.8,essential_metabolite_depletion,1,0,0.0,,no_patched_dependency
JCVISYN3A_0452,parE,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0453,parC,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0475,ldh,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0478,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0479,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0481,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0154,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0482,rpsU,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0493,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0494,nanE,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0495,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0499,rpmA,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0500,prp;ysxB,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0501,rplU,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0503,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0930,rpmG,0,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0504,rsmI,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0505,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0511,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0512,plsC,1,1,1.0,catalysis_silenced,1,0,0.0,,no_patched_dependency
JCVISYN3A_0513,acpS,1,1,0.8,membrane_integrity,2,0,0.0,,no_patched_dependency
JCVISYN3A_0515,dctD,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0516,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0517,rluD,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0518,lspA,1,1,0.8,membrane_integrity,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0519,ileRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0520,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0521,sepF,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0522,ftsZ,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0523,ftsA,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0524,rsmH; mraW,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0525,mraZ,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0526,rpmF,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0528,pheRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0527,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0529,pheS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0530,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0535,argRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0536,frr,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0537,pyrH,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0538,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0539,tsf,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0540,rpsB,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0541,dnaJ,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0542,dnaK,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0543,grpE,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0545,clpB,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0544,hrcA,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0548,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0549,rgdB,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
