organism,locus_tag,gene_name,essential,source,source_url
syn3a,JCVISYN3A_0195,potC,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0196,potB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0197,potA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0198,rplT,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0199,rpmI,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0200,infC,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0201,def,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0202,rsmD,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0203,gmk,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0213,eno,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0214,pgpA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0215,yrrK; yqgF,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0216,hptA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0218,glpK,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0220,pfkA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0221,pyk,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0222,thrRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0227,pdhC,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0228,lpdA,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0229,pta,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0230,ackA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0233,ptsI,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0234,crr,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0235,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0238,rpsD,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0239,-/ezrA,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0240,thiI,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0247,ysxC; yihA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0248,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0249,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0250,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0253,greA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0254,uvrC,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0257,rnjB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0259,nadK,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0260,valRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0262,rpe,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0263,rsgA; engC,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0264,prkC; stkP,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0270,tsaE; yjeE,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0271,tsaB; yeaZ,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0281,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0282,proRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0283,rnhA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0285,lepA; EF4,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0286,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0287,aspRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0288,hisRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0289,rbfA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0290,truB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0291,ribF,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0294,rpsO,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0296,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0297,infB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0298,-/ylxR,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0299,ylxR/ylxQ,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0300,nusA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0301,rimP,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0302,fre,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0303,polC,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0304,cdsA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0305,pepP,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0308,trpRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0314,ecfS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0315,-/ynzC-like,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0316,tkt,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0317,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0325,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0326,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0327,scpA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0328,scpB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0329,rluB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0330,dgk,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0332,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0338,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0344,ppa,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0345,ecfS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0346,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0347,cmk,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0348,engA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0350,hupA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0352,-/dnaD-like,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0353,gpsB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0359,rny,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0360,ffh,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0361,rlmH,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0362,rpsP,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0363,rimM,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0364,trmD,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0365,rplS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0366,ylqF; rbgA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0371,ywjA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0372,ywjA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0373,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0375,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0376,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0377,obgE,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0378,nadE,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0379,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0380,nadD,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0381,mtnN,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0382,dnk,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0387,mnmA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0388,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0389,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0390,fmt,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0391,efp,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0392,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0394,lon,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0398,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0399,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0400,thiJ/thiJ-like,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0401,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0402,ybeY,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0403,era,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0404,recO,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0405,glyRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0406,dnaG,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0407,rpoD,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0408,trmK; yqfN,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0409,folE/yqfO-like,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0410,cshB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0411,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0412,secDF,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0413,apt,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0414,relA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0415,smc,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0416,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0418,rnc,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0419,plsX,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0420,fakA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0421,-/yloU,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0422,rpmB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0424,-/yqgC-like,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0425,pstS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0426,pstA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0427,pstB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0428,phoU,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0429,ftsY,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0430,-/ylxM,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
