locus_tag,gene_name,product,feature_type,length_bp,strand,start_bp,rel_position,has_gene_name,protein_length_aa,gravy,pI,aromaticity,net_charge_ph7,has_signal_pep,tm_helix_count,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,is_ribosomal,is_synthetase,is_trna,is_polymerase,is_dna_machinery,is_translation,is_transcription,is_membrane,is_atp_binding,is_kinase,is_phosphatase,is_synthase,is_uncharacterized,is_metabolism
JCVISYN3A_0106,xseA,Exodeoxyribonuclease VII large subunit,CDS,1410,-1,69014,0.12700895691589112,1,469.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCVISYN3A_0107,nusB,Transcription antitermination factor,CDS,399,-1,70425,0.12960567117978428,1,132.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JCVISYN3A_0108,,Uncharacterized lipoprotein,CDS,1113,-1,70835,0.13036020898856968,0,370.0,,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JCVISYN3A_0109,,Deoxyribonuclease IV,CDS,870,-1,71973,0.1324545114919789,0,289.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCVISYN3A_0113,bcsA,Glycolipid synthase A,CDS,1350,1,73088,0.13450648626465136,1,449.0,,,,,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JCVISYN3A_0114,bcsB; cps,Glycolipid synthase B,CDS,921,-1,74511,0.1371252845619724,1,306.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JCVISYN3A_0115,galU; gtaB,UTP--glucose-1-phosphate uridylyltransferase,CDS,873,-1,75879,0.13964286437274903,1,290.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JCVISYN3A_0116,,Uncharacterized protein,CDS,441,-1,76936,0.14158809965052016,0,146.0,,,,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JCVISYN3A_0117,plsY,Acyl-phosphate glycerol 3-phosphate acyltransferase,CDS,762,1,77446,0.14252667107120445,1,253.0,,,,,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JCVISYN3A_0126,gluRS,Glutamate--tRNA ligase,CDS,1452,1,78403,0.1442878727370767,1,483.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
JCVISYN3A_0127,,Uncharacterized phosphohydrolase,CDS,1215,1,79857,0.14696372145408637,0,404.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JCVISYN3A_0128,rpoE,DNA-directed RNA polymerase subunit delta,CDS,429,1,81097,0.14924573824163245,1,142.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JCVISYN3A_0129,pyrG,CTP synthase,CDS,1599,1,81617,0.1502027130235066,1,532.0,,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JCVISYN3A_0131,fbaA,"Fructose-1,6-bisphosphate aldolase",CDS,894,1,83504,0.1536754272800384,1,297.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JCVISYN3A_0132,ietA,Toxin-antitoxin AAA ATPase,CDS,1062,1,84546,0.15559305751602473,1,353.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JCVISYN3A_0133,ietS,Toxin-antitoxin serine protease,CDS,2274,1,85600,0.1575327717854389,1,757.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCVISYN3A_0137,rpmE,50S ribosomal protein L31,CDS,279,1,88733,0.16329854484623071,1,92.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JCVISYN3A_0138,,Uncharacterized protein,CDS,1899,1,89084,0.16394450282399578,0,632.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JCVISYN3A_0139,ytqI; orn,NanoRNAse,CDS,951,1,90992,0.16745586413902636,1,316.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCVISYN3A_0140,tdk,Thymidine kinase,CDS,630,1,91944,0.16920786412430366,1,209.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
JCVISYN3A_0141,prfA,Peptide chain release factor 1,CDS,1095,1,92576,0.17037095655150455,1,364.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JCVISYN3A_0142,prmC,"Protein-(glutamine-N5) methyltransferase, release factor-specific",CDS,849,1,93663,0.17237140191284536,1,282.0,,,,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
JCVISYN3A_0143,,Uncharacterized protein,CDS,1473,1,94520,0.17394856996681873,0,490.0,,,,,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JCVISYN3A_0144,tsaC,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit,CDS,501,1,96001,0.1766741077590411,1,166.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
JCVISYN3A_0145,,Uncharacterized acetyltransferase,CDS,915,1,96616,0.17780591447221922,0,304.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JCVISYN3A_0146,,Uncharacterized protein,CDS,708,1,97759,0.17990941865622337,0,235.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
