locus_tag,product,tier,predicted_call,measured_essential,score_all_combined,conservation,n_paralogs,gene_len_aa,n_sisters,absent_all_sisters,rogue_suspect
RS_RS00225,zinc metallochaperone GTPase ZigA,PHENOTYPE_REQUIRED,unknown,0,0.3895446888017037,0.2571428571428571,2.0,433,3,False,False
RS_RS00230,RNA polymerase-binding protein DksA,PHENOTYPE_REQUIRED,unknown,0,0.7514245542663632,0.5,0.0,140,3,False,False
RS_RS00235,CobW family GTP-binding protein,PHENOTYPE_REQUIRED,unknown,0,0.420494238648645,0.2571428571428571,2.0,363,3,False,False
RS_RS00240,Fur family transcriptional regulator,CONFIDENT_ESSENTIAL,essential,1,0.9293367773346968,0.8461538461538461,2.0,173,3,False,False
RS_RS00245,lactonase family protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.1967077970677504,0.0434782608695652,1.0,419,3,False,False
RS_RS00250,FAD-dependent oxidoreductase,PHENOTYPE_REQUIRED,unknown,0,0.148863739174286,0.0,0.0,509,3,False,True
RS_RS00255,class I SAM-dependent rRNA methyltransferase,PHENOTYPE_REQUIRED,unknown,0,0.17054823970177,0.0,0.0,398,3,False,True
RS_RS00260,tyrosine recombinase XerC,PHENOTYPE_REQUIRED,unknown,1,0.5713538160422909,0.3902439024390244,2.0,330,3,False,False
RS_RS00265,DUF484 family protein,PHENOTYPE_REQUIRED,unknown,1,0.2616475301524487,0.064516129032258,0.0,238,3,False,True
RS_RS00270,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,CONFIDENT_ESSENTIAL,essential,1,0.9320244059876284,0.9666666666666668,0.0,489,3,False,False
RS_RS00275,dienelactone hydrolase family protein,PHENOTYPE_REQUIRED,unknown,0,0.1852866071391928,0.0,0.0,326,3,False,True
RS_RS00280,hypothetical protein,PHENOTYPE_REQUIRED,unknown,0,0.2310128722476406,0.0,0.0,167,3,False,True
RS_RS00285,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,CONFIDENT_ESSENTIAL,essential,1,0.8603548482187916,0.7894736842105263,1.0,496,3,False,False
RS_RS00290,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,CONFIDENT_ESSENTIAL,essential,1,0.967252448389633,1.0,0.0,100,3,False,False
RS_RS00295,rod shape-determining protein,CONFIDENT_ESSENTIAL,essential,1,0.9506380531322464,1.0,0.0,348,3,False,False
RS_RS00300,rod shape-determining protein MreC,CONFIDENT_ESSENTIAL,essential,1,0.9290860265244484,0.918918918918919,0.0,347,3,False,False
RS_RS00305,rod shape-determining protein MreD,CONFIDENT_ESSENTIAL,essential,1,0.9194582891325374,0.8214285714285714,0.0,171,3,False,False
RS_RS00310,penicillin-binding protein 2,CONFIDENT_ESSENTIAL,essential,1,0.8812054220115398,0.9473684210526316,0.0,802,3,False,False
RS_RS00315,rod shape-determining protein RodA,CONFIDENT_ESSENTIAL,essential,1,0.9491782942250152,1.0,1.0,381,3,False,False
RS_RS00320,AMP-binding protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.215901569351959,0.0975609756097561,9.0,565,3,False,False
RS_RS00325,LysR family transcriptional regulator,CONFIDENT_ESSENTIAL,essential,1,0.8604127856588288,0.6097560975609756,57.0,313,3,False,False
RS_RS00330,DNA topoisomerase III,PHENOTYPE_REQUIRED,unknown,1,0.6859260189427381,0.6829268292682927,0.0,878,3,False,False
RS_RS00335,thioredoxin family protein,CONFIDENT_ESSENTIAL,essential,1,0.9662814547493512,1.0,0.0,130,3,False,False
RS_RS00340,DNA-processing protein DprA,PHENOTYPE_REQUIRED,unknown,0,0.1747847941940185,0.0,0.0,402,3,False,True
RS_RS00345,LysM peptidoglycan-binding domain-containing protein,PHENOTYPE_REQUIRED,unknown,0,0.1795793432589662,0.0,0.0,391,3,False,True
RS_RS00350,peptide deformylase,CONFIDENT_ESSENTIAL,essential,0,0.9437782007456376,0.8974358974358975,0.0,170,3,False,False
RS_RS00355,ArnT family glycosyltransferase,PHENOTYPE_REQUIRED,unknown,0,0.1206862738795407,0.0,0.0,658,3,False,True
RS_RS00360,methionyl-tRNA formyltransferase,CONFIDENT_ESSENTIAL,essential,1,0.94685671786746,0.9743589743589745,0.0,328,3,False,False
RS_RS00365,LysE family translocator,PHENOTYPE_REQUIRED,unknown,1,0.3754421116532841,0.1621621621621621,6.0,216,3,False,False
RS_RS00370,zinc metalloprotease HtpX,PHENOTYPE_REQUIRED,unknown,0,0.2949267525370396,0.1176470588235294,0.0,287,3,False,False
RS_RS00375,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,CONFIDENT_NONESSENTIAL,non-essential,0,0.1781083512807045,0.027027027027027,1.0,442,3,False,False
RS_RS00380,DUF4390 domain-containing protein,PHENOTYPE_REQUIRED,unknown,1,0.2003929253398011,0.0,0.0,270,3,False,True
RS_RS00385,sensor histidine kinase,PHENOTYPE_REQUIRED,unknown,0,0.3226088972796107,0.3333333333333333,0.0,812,3,False,False
RS_RS00390,response regulator,CONFIDENT_ESSENTIAL,essential,1,0.9584410915285704,1.0,0.0,240,3,False,False
RS_RS00405,hypothetical protein,PHENOTYPE_REQUIRED,unknown,0,0.2463513900249982,0.0,0.0,102,3,False,True
RS_RS00410,MurR/RpiR family transcriptional regulator,PHENOTYPE_REQUIRED,unknown,1,0.305096301486982,0.1333333333333333,4.0,301,3,False,False
RS_RS00415,aspartate aminotransferase family protein,PHENOTYPE_REQUIRED,unknown,1,0.4992233724786794,0.3658536585365853,6.0,451,3,False,False
RS_RS00420,3-keto-5-aminohexanoate cleavage protein,PHENOTYPE_REQUIRED,unknown,0,0.2349308142156563,0.0588235294117647,0.0,282,3,False,True
RS_RS00425,transporter substrate-binding domain-containing protein,PHENOTYPE_REQUIRED,unknown,1,0.3027293211299736,0.1111111111111111,11.0,302,3,False,False
RS_RS00430,multifunctional CCA addition/repair protein,CONFIDENT_ESSENTIAL,essential,1,0.9146482776493636,0.8947368421052632,0.0,430,3,False,False
RS_RS00435,glutathione S-transferase family protein,PHENOTYPE_REQUIRED,unknown,0,0.214352914016432,0.0,0.0,230,3,False,True
RS_RS00440,complex I NDUFA9 subunit family protein,PHENOTYPE_REQUIRED,unknown,0,0.2905005559551428,0.131578947368421,0.0,335,3,False,False
RS_RS00445,lytic transglycosylase domain-containing protein,PHENOTYPE_REQUIRED,unknown,0,0.1227231564652857,0.0,0.0,651,3,False,True
RS_RS00450,5-formyltetrahydrofolate cyclo-ligase,PHENOTYPE_REQUIRED,unknown,0,0.2295256303291054,0.0263157894736842,0.0,202,3,False,True
RS_RS00455,TfoX/Sxy family protein,PHENOTYPE_REQUIRED,unknown,0,0.2297202334553144,0.0,0.0,153,3,False,True
RS_RS00460,methylenetetrahydrofolate reductase [NAD(P)H],PHENOTYPE_REQUIRED,unknown,0,0.3084012092816985,0.1282051282051282,0.0,277,3,False,False
RS_RS00465,phage holin family protein,PHENOTYPE_REQUIRED,unknown,0,0.2494307001867489,0.0,0.0,114,3,False,True
RS_RS00470,adenosylhomocysteinase,CONFIDENT_ESSENTIAL,essential,1,0.8469222513966288,0.7575757575757576,0.0,475,3,False,False
RS_RS00475,hypothetical protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.2327206418212394,0.0,0.0,184,1,False,False
RS_RS25230,L%2CD-transpeptidase,CONFIDENT_NONESSENTIAL,non-essential,0,0.2456360765132237,0.0,0.0,144,1,False,False
RS_RS00480,alkaline phosphatase,PHENOTYPE_REQUIRED,unknown,0,0.1473903934779159,0.0,0.0,484,3,False,True
RS_RS00485,alkaline phosphatase,PHENOTYPE_REQUIRED,unknown,0,0.1510523292416862,0.0,0.0,468,3,False,True
RS_RS00490,hypothetical protein,PHENOTYPE_REQUIRED,unknown,0,0.2020983885829723,0.0,0.0,233,3,False,True
RS_RS00495,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,PHENOTYPE_REQUIRED,unknown,1,0.4818256264550823,0.3142857142857143,0.0,302,3,False,False
RS_RS00500,hypothetical protein,PHENOTYPE_REQUIRED,unknown,0,0.2346892240517372,0.0,0.0,121,3,False,True
RS_RS00525,VOC family protein,PHENOTYPE_REQUIRED,unknown,0,0.2984651550165112,0.0714285714285714,1.0,160,3,False,False
RS_RS00530,thiamine phosphate synthase,CONFIDENT_ESSENTIAL,essential,1,0.9474816954366768,1.0,0.0,384,3,False,False
RS_RS00535,thiazole synthase,PHENOTYPE_REQUIRED,unknown,1,0.4524339582967059,0.2702702702702703,0.0,276,3,False,False
RS_RS00540,IS630-like element ISRso5 family transposase,CONFIDENT_NONESSENTIAL,non-essential,1,0.6689840676702968,0.5,1.0,364,0,True,False
RS_RS00545,sulfur carrier protein ThiS,CONFIDENT_ESSENTIAL,essential,1,0.91900383656556,0.7857142857142857,0.0,76,3,False,False
RS_RS00550,FAD-dependent oxidoreductase,PHENOTYPE_REQUIRED,unknown,1,0.421884754545833,0.2631578947368421,8.0,380,3,False,False
RS_RS00555,phosphomethylpyrimidine synthase ThiC,PHENOTYPE_REQUIRED,unknown,0,0.172700480257153,0.081081081081081,0.0,632,3,False,True
RS_RS00560,NAD(P)H-dependent flavin oxidoreductase,PHENOTYPE_REQUIRED,unknown,0,0.2889872131567519,0.15625,3.0,403,3,False,False
RS_RS00565,putative Ig domain-containing protein,PHENOTYPE_REQUIRED,unknown,0,0.0270283232883821,0.0,0.0,1673,3,False,True
RS_RS00570,phage tail protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.22144082810869,0.0,2.0,183,3,False,False
RS_RS00575,phage tail protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.2208141415056071,0.0,2.0,178,3,False,False
RS_RS00580,phage tail protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.2214561730184726,0.0,2.0,174,3,False,False
RS_RS00585,DUF6916 family protein,PHENOTYPE_REQUIRED,unknown,0,0.2385990042460203,0.0,0.0,101,3,False,True
RS_RS00590,GNAT family N-acetyltransferase,PHENOTYPE_REQUIRED,unknown,0,0.3177230842185949,0.1111111111111111,0.0,165,3,False,False
RS_RS00595,acyl-CoA dehydrogenase family protein,PHENOTYPE_REQUIRED,unknown,0,0.1578334697123755,0.0476190476190476,0.0,558,3,False,True
RS_RS00600,amino acid ABC transporter substrate-binding protein,PHENOTYPE_REQUIRED,unknown,0,0.1898897169980709,0.0,0.0,300,3,False,True
RS_RS00605,GMC family oxidoreductase,CONFIDENT_NONESSENTIAL,non-essential,0,0.1358534766906927,0.0,1.0,575,3,False,False
RS_RS00610,type II toxin-antitoxin system RelE/ParE family toxin,PHENOTYPE_REQUIRED,unknown,1,0.585854750221992,0.3333333333333333,0.0,122,2,False,False
RS_RS00615,helix-turn-helix domain-containing protein,PHENOTYPE_REQUIRED,unknown,0,0.6147985947173336,0.3571428571428571,0.0,107,2,False,False
RS_RS00620,hypothetical protein,CONFIDENT_ESSENTIAL,essential,0,0.9684216020135282,1.0,0.0,74,3,False,False
RS_RS00625,lactonase family protein,PHENOTYPE_REQUIRED,unknown,0,0.1549757989400486,0.0,0.0,481,3,False,True
RS_RS00630,Lrp/AsnC family transcriptional regulator,PHENOTYPE_REQUIRED,unknown,1,0.6778232631973474,0.4102564102564102,9.0,153,3,False,False
RS_RS00635,glutathione S-transferase,PHENOTYPE_REQUIRED,unknown,1,0.7839025876903479,0.5588235294117647,10.0,203,3,False,False
RS_RS00640,HPP family protein,PHENOTYPE_REQUIRED,unknown,0,0.175101223295101,0.0,0.0,379,3,False,True
RS_RS00645,acid phosphatase,PHENOTYPE_REQUIRED,unknown,0,0.1176230344702852,0.0,0.0,658,3,False,True
RS_RS00650,AraC family transcriptional regulator,CONFIDENT_NONESSENTIAL,non-essential,0,0.1999594404202625,0.0,1.0,294,3,False,False
RS_RS00655,GYD domain-containing protein,CONFIDENT_ESSENTIAL,essential,0,0.8676163948265461,0.6666666666666666,0.0,98,3,False,False
RS_RS00660,methionine adenosyltransferase,CONFIDENT_ESSENTIAL,essential,1,0.9492652777989616,1.0,0.0,397,3,False,False
RS_RS00665,lysophospholipid acyltransferase family protein,CONFIDENT_ESSENTIAL,essential,1,0.8798059028636013,0.7567567567567568,1.0,283,3,False,False
RS_RS00670,lipid A biosynthesis lauroyl acyltransferase,CONFIDENT_ESSENTIAL,essential,1,0.8773516832532918,0.7567567567567568,1.0,298,3,False,False
RS_RS00675,diaminopimelate epimerase,CONFIDENT_ESSENTIAL,essential,1,0.8977881989722498,0.8048780487804879,0.0,293,3,False,False
RS_RS00680,polyphosphate kinase 2 family protein,PHENOTYPE_REQUIRED,unknown,0,0.2011635928670528,0.0,0.0,276,3,False,True
RS_RS00685,orotate phosphoribosyltransferase,PHENOTYPE_REQUIRED,unknown,1,0.6694661891624942,0.4390243902439024,0.0,227,3,False,False
RS_RS00690,exodeoxyribonuclease III,PHENOTYPE_REQUIRED,unknown,0,0.3343355539373649,0.1463414634146341,1.0,262,3,False,False
RS_RS00695,inner membrane protein YiaA,PHENOTYPE_REQUIRED,unknown,0,0.2295814181964765,0.0,0.0,167,3,False,True
RS_RS00700,N-acetyl-gamma-glutamyl-phosphate reductase,PHENOTYPE_REQUIRED,unknown,1,0.4833946494369281,0.3170731707317073,0.0,338,3,False,False
RS_RS00705,SRPBCC domain-containing protein,PHENOTYPE_REQUIRED,unknown,0,0.2241387285771781,0.0,0.0,179,3,False,True
RS_RS00710,LysR family transcriptional regulator,PHENOTYPE_REQUIRED,unknown,0,0.3215892035295981,0.1379310344827586,6.0,322,3,False,False
RS_RS00715,prohibitin family protein,PHENOTYPE_REQUIRED,unknown,0,0.2034088819449092,0.0,0.0,303,3,False,True
RS_RS00720,YdcF family protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.2149134117981413,0.0,1.0,252,3,False,False
RS_RS00725,hypothetical protein,PHENOTYPE_REQUIRED,unknown,1,0.2475026897047395,0.0,0.0,119,3,False,True
RS_RS00730,DUF6630 family protein,PHENOTYPE_REQUIRED,unknown,0,0.2268911847614058,0.0,0.0,203,3,False,True
RS_RS00735,MarR family winged helix-turn-helix transcriptional regulator,PHENOTYPE_REQUIRED,unknown,1,0.7559428066313444,0.4871794871794871,13.0,171,3,False,False
RS_RS00740,nitroreductase family protein,PHENOTYPE_REQUIRED,unknown,0,0.4043439509523594,0.2,1.0,215,3,False,False
RS_RS00745,DMT family transporter,PHENOTYPE_REQUIRED,unknown,1,0.2721490439853025,0.073170731707317,15.0,310,3,False,False
RS_RS00755,M48 family metallopeptidase,PHENOTYPE_REQUIRED,unknown,0,0.1987393269888666,0.0,0.0,315,3,False,True
RS_RS00760,muropeptide transporter,PHENOTYPE_REQUIRED,unknown,0,0.1874407414075574,0.032258064516129,0.0,427,3,False,True
RS_RS00765,class I SAM-dependent methyltransferase,CONFIDENT_ESSENTIAL,essential,1,0.9329520408648264,0.9285714285714286,0.0,398,3,False,False
RS_RS00770,SDR family oxidoreductase,CONFIDENT_ESSENTIAL,essential,1,0.9667256933353318,1.0,27.0,268,3,False,False
RS_RS00775,dihydroneopterin aldolase,CONFIDENT_ESSENTIAL,essential,1,0.9518133151276852,0.9166666666666666,0.0,131,3,False,False
RS_RS00780,arginase,PHENOTYPE_REQUIRED,unknown,0,0.3399399958943141,0.16,1.0,310,3,False,False
RS_RS00785,ornithine--oxo-acid transaminase,PHENOTYPE_REQUIRED,unknown,1,0.5406830108702072,0.3658536585365853,6.0,409,3,False,False
RS_RS00790,LysR family transcriptional regulator,CONFIDENT_ESSENTIAL,essential,1,0.8642467993356779,0.6097560975609756,57.0,309,3,False,False
RS_RS00795,L-piperidine-6-carboxylate dehydrogenase,PHENOTYPE_REQUIRED,unknown,0,0.2699112017028816,0.125,13.0,504,3,False,False
RS_RS00800,TetR/AcrR family transcriptional regulator,PHENOTYPE_REQUIRED,unknown,0,0.7710533714152797,0.5365853658536586,15.0,251,3,False,False
RS_RS00805,HlyD family secretion protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.2173134848376139,0.0263157894736842,4.0,324,3,False,False
RS_RS00810,ABC transporter ATP-binding protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.2174981358484142,0.0256410256410256,3.0,322,3,False,False
RS_RS00815,ABC transporter permease,PHENOTYPE_REQUIRED,unknown,0,0.1827179747006082,0.0,0.0,382,3,False,True
RS_RS00820,efflux transporter outer membrane subunit,PHENOTYPE_REQUIRED,unknown,0,0.4184333798252865,0.2631578947368421,19.0,481,3,False,False
RS_RS00825,GtrA family protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.2559048108933499,0.0,0.0,142,2,False,False
RS_RS00830,NAD(P)/FAD-dependent oxidoreductase,CONFIDENT_NONESSENTIAL,non-essential,0,0.1801733346036532,0.0,0.0,428,2,False,False
RS_RS00835,NAD-dependent epimerase/dehydratase family protein,CONFIDENT_ESSENTIAL,essential,0,0.9584613915235736,1.0,0.0,313,2,False,False
RS_RS00840,hypothetical protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.1525587220938959,0.0,0.0,568,0,True,False
RS_RS00845,SDR family oxidoreductase,CONFIDENT_ESSENTIAL,essential,1,0.9698366399273588,1.0,27.0,247,3,False,False
RS_RS00850,FAD-binding oxidoreductase,PHENOTYPE_REQUIRED,unknown,0,0.3386003601801061,0.2,0.0,439,2,False,False
RS_RS00855,UbiA family prenyltransferase,CONFIDENT_NONESSENTIAL,non-essential,0,0.1664675875684559,0.0,0.0,475,2,False,False
RS_RS00860,2-dehydropantoate 2-reductase,PHENOTYPE_REQUIRED,unknown,0,0.3574694799889998,0.1764705882352941,2.0,314,3,False,False
RS_RS00865,tRNA 2-thiocytidine(32) synthetase TtcA,PHENOTYPE_REQUIRED,unknown,0,0.1961926593981312,0.0,0.0,313,3,False,True
RS_RS00870,DUF6279 family lipoprotein,PHENOTYPE_REQUIRED,unknown,0,0.2026107883445777,0.0,0.0,300,3,False,True
RS_RS00875,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,CONFIDENT_ESSENTIAL,essential,1,0.943682432925346,1.0,0.0,456,3,False,False
RS_RS00880,glutamine--fructose-6-phosphate transaminase (isomerizing),CONFIDENT_ESSENTIAL,essential,1,0.903840481464746,0.926829268292683,0.0,613,3,False,False
RS_RS00885,universal stress protein,PHENOTYPE_REQUIRED,unknown,0,0.4279488459131789,0.1714285714285714,5.0,152,3,False,False
RS_RS00895,MgtC/SapB family protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.1723410411122242,0.0,0.0,409,0,True,False
RS_RS00900,YgaP family membrane protein,PHENOTYPE_REQUIRED,unknown,1,0.2774893923598165,0.0,0.0,61,2,False,False
RS_RS00905,CBS domain-containing protein,PHENOTYPE_REQUIRED,unknown,1,0.4897531676591067,0.2424242424242424,1.0,166,3,False,False
RS_RS00910,universal stress protein,PHENOTYPE_REQUIRED,unknown,0,0.4064871125337503,0.1714285714285714,5.0,167,3,False,False
RS_RS00915,universal stress protein,PHENOTYPE_REQUIRED,unknown,0,0.3359181233774708,0.1515151515151515,0.0,280,1,False,False
RS_RS00920,BON domain-containing protein,PHENOTYPE_REQUIRED,unknown,0,0.464506858415217,0.25,1.0,218,1,False,False
RS_RS00925,flavodoxin family protein,PHENOTYPE_REQUIRED,unknown,0,0.3855110014721457,0.1666666666666666,0.0,177,3,False,False
RS_RS00935,BON domain-containing protein,PHENOTYPE_REQUIRED,unknown,0,0.4602690554297592,0.25,1.0,216,1,False,False
RS_RS00940,helix-turn-helix domain-containing protein,PHENOTYPE_REQUIRED,unknown,0,0.7551803068286451,0.5384615384615384,3.0,267,3,False,False
RS_RS00945,PAS domain-containing sensor histidine kinase,PHENOTYPE_REQUIRED,unknown,0,0.1590050563835826,0.0,0.0,459,3,False,True
RS_RS00950,response regulator,PHENOTYPE_REQUIRED,unknown,1,0.6699074362553494,0.4210526315789473,11.0,216,3,False,False
RS_RS00960,zinc-dependent alcohol dehydrogenase family protein,PHENOTYPE_REQUIRED,unknown,0,0.5614941176668992,0.358974358974359,14.0,346,3,False,False
RS_RS00965,adenosylcobalamin-dependent ribonucleoside-diphosphate reductase,CONFIDENT_NONESSENTIAL,non-essential,0,0.1294107851157559,0.0,0.0,606,0,True,False
RS_RS00970,hypothetical protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.1613875850891673,0.0,1.0,447,2,False,False
RS_RS00975,c-type cytochrome,CONFIDENT_NONESSENTIAL,non-essential,0,0.2157622405382506,0.0,0.0,207,2,False,False
RS_RS00980,hypothetical protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.2261219392906696,0.0,0.0,214,0,True,False
RS_RS00985,cytochrome b,PHENOTYPE_REQUIRED,unknown,0,0.2880647925640738,0.0625,1.0,175,3,False,False
RS_RS00990,Hsp20/alpha crystallin family protein,PHENOTYPE_REQUIRED,unknown,0,0.4699393672668203,0.2368421052631578,0.0,141,1,False,False
RS_RS00995,MBL fold metallo-hydrolase RNA specificity domain-containing protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.1560333495748182,0.0,0.0,453,0,True,False
