pid	reaction_id	reaction	category	PREDICTED_GENE	is_real_gene	copied	starved	n_examples	top_similarity	compartment_ok	compartments	reason
10	R-HSA-109514		transition	NT5M	True	False	False	12	0.250	True	mitochondrial matrix	Mitochondrial 5'(3')-deoxyribonucleotidase dephosphorylating pyrimidine mono-, 2'- and 3'-phosphates inside the matrix to protect the mitochondrial dNTP pool.
11	R-HSA-109539		transition	SLC28A2	True	False	False	12	0.500	True	cytosol;extracellular region	Na+-coupled symport of purine nucleosides across the plasma membrane, the concentrative nucleoside transporter CNT2 whose ligand set is named in the reaction.
12	R-HSA-109527		transition	SLC29A2	True	False	True	0	0.000	True	cytosol;extracellular region	Equilibrative, Na+-independent facilitated diffusion of nucleosides inward through ENT2.
13	R-HSA-109470		transition	NT5C2	True	False	True	0	0.000	True	cytosol	Cytosolic high-Km IMP/GMP-preferring 5'-nucleotidase hydrolysing the 5'-phosphate of guanine and hypoxanthine (deoxy)ribonucleotides.
14	R-HSA-109538		transition	SLC28A3	True	False	False	12	0.400	True	cytosol;extracellular region	Na+-coupled concentrative symport of both purine and pyrimidine nucleosides (CNT3), the Na+-dependent half of the shared CNT3/ENT1 ligand set.
15	R-HSA-109534		transition	SLC29A1	True	False	True	0	0.000	True	cytosol;extracellular region	Equilibrative bidirectional nucleoside carrier working down its gradient, here effluxing nucleosides from cytosol without ion coupling.
16	R-HSA-109530		transition	SLC28A1	True	False	False	12	0.500	True	cytosol;extracellular region	Na+-coupled concentrative uptake of pyrimidine nucleosides by CNT1.
17	R-HSA-109415		transition	NT5C1A	True	False	False	12	0.333	True	cytosol	Cytosolic AMP-preferring 5'-nucleotidase I hydrolysing the 5'-phosphomonoester of AMP to adenosine.
18	R-HSA-109380		transition	NT5C3A	True	False	True	0	0.000	True	cytosol	Cytosolic pyrimidine 5'-nucleotidase I removing the 5'-phosphate from CMP/UMP/TMP and their deoxy forms.
19	R-HSA-109341		transition	ACADM	True	False	True	2	0.333	True	mitochondrial matrix	FAD-dependent alpha,beta-dehydrogenation of a C10 acyl-CoA to the 2-trans-enoyl-CoA, the medium-chain acyl-CoA dehydrogenase step.
20	R-HSA-109449		transition	NT5C	True	False	True	0	0.000	True	cytosol	Cytosolic deoxyribonucleotidase (dNT-1) hydrolysing the 5'-phosphate of deoxypyrimidine nucleotides such as dUMP, dCMP and TMP.
21	R-HSA-109529		transition	SLC29A2	True	False	True	0	0.000	True	cytosol;extracellular region	Same equilibrative ENT2 carrier operating in the outward direction as nucleosides run down their concentration gradient.
22	R-HSA-109387		transition	NT5C1B	True	False	True	0	0.000	True	cytosol	Cytosolic 5'-nucleotidase IB with broad purine specificity, dephosphorylating AMP, GMP and IMP together with their deoxy counterparts.
23	R-HSA-109624		transition	ADK	True	False	True	0	0.000	True	cytosol	ATP-dependent 5'-phosphorylation of the ribose of adenosine (and deoxyadenosine) in the purine salvage route.
24	R-HSA-109536		transition	SLC29A1	True	False	True	0	0.000	True	cytosol;extracellular region	Na+-independent equilibrative influx of nucleosides through ENT1, the ion-uncoupled member of the shared ligand set.
25	R-HSA-109480		transition	NT5C3B	True	False	True	0	0.000	True	cytosol	Cytosolic pyrimidine nucleotide phosphatase clearing 5'-, 3'- and 2'-monophosphates of uridine and ribothymidine.
26	R-HSA-109823		transition	MAPK1	True	False	True	0	0.000	True	cytosol	ERK2-mediated phosphorylation of four C-terminal serines of SOS1, the negative-feedback phospho-event that dislodges SOS1 from the GRB2 adaptor complex.
27	R-HSA-109903		transition	UCK2	True	False	True	0	0.000	True	cytosol	ATP-dependent 5'-phosphorylation of the ribonucleosides uridine and cytidine in pyrimidine salvage.
28	R-HSA-109671		transition	DCK	True	False	True	0	0.000	False	cytosol	Deoxycytidine kinase also phosphorylates the purine deoxyribonucleosides dA and dG at the 5'-OH using ATP.
29	R-HSA-109759		transition	TK2	True	False	False	12	0.400	True	mitochondrial matrix	Mitochondrial thymidine kinase 2 phosphorylates deoxypyrimidine nucleosides (dT, dC, dU) inside the matrix to feed the mtDNA dNTP pool.
30	R-HSA-109699		transition	PIK3CA	True	True	False	12	1.000	True	cytosol;plasma membrane	ATP-dependent 3-OH phosphorylation of the inositol ring of PI(4,5)P2 by the class IA PI3K catalytic subunit p110alpha.
31	R-HSA-109700		transition	AKT2	True	False	False	12	0.200	True	cytosol;plasma membrane	PH-domain recognition of the 3-phosphate headgroup of PIP3 recruits AKT2 to the membrane and displaces its cytosolic inhibitors.
32	R-HSA-109822		transition	MAPK1	True	False	True	0	0.000	True	cytosol	The same ERK2 feedback phosphorylation of the four SOS1 serines, here on the SHC1-scaffolded GRB2:SOS1 complex.
33	R-HSA-110145		transition	AK1	True	False	False	12	0.500	True	cytosol	Cytosolic adenylate kinase transferring the gamma-phosphate of ATP to AMP to give two ADP.
34	R-HSA-110141		transition	AK1	True	False	True	0	0.000	True	cytosol	The reverse adenylate-kinase phosphotransfer, moving a beta-phosphate between ADP and (d)ADP to regenerate ATP plus (d)AMP.
35	R-HSA-110138		transition	AK9	True	False	True	0	0.000	True	cytosol	Broad-specificity nucleoside monophosphate kinase that phosphorylates ribo- and deoxyribo-NMPs to NDPs with ATP as donor.
36	R-HSA-109998		transition	ECI1	True	False	True	0	0.000	True	mitochondrial matrix	Repositioning of a 3-trans double bond to the 2-trans position of decenoyl-CoA, the enoyl-CoA isomerase step returning the intermediate to the beta-oxidation spiral.
37	R-HSA-110144		transition	AK1	True	False	False	12	0.500	True	cytosol	Adenylate kinase disproportionation of two ADP into ATP and AMP in the cytosol.
38	R-HSA-110137		transition	AK9	True	False	True	0	0.000	True	cytosol	Reverse-direction broad NMP kinase activity, transferring phosphate from (d)NDPs onto ADP to give ATP.
39	R-HSA-110133		transition	GUK1	True	False	True	0	0.000	True	cytosol	Guanylate kinase working in reverse, moving the beta-phosphate of (d)GDP onto ADP to yield (d)GMP and ATP.
40	R-HSA-110349		transition	APEX1	True	True	True	4	0.200	True	nucleoplasm	AP-endonuclease binding to the abasic site displaces the product-bound uracil-DNA glycosylase, the hand-off step of base excision repair.
41	R-HSA-110350		transition	APEX1	True	True	True	9	0.333	True	nucleoplasm	Higher-affinity abasic-site engagement by APE1 competes TDG off its own AP-site product.
42	R-HSA-110356		transition	APEX1	True	True	True	5	0.200	True	nucleoplasm	APE1 occupancy of the AP site releases the alkyladenine glycosylase from the repair intermediate.
43	R-HSA-110352		transition	APEX1	True	True	True	6	0.200	True	nucleoplasm	APE1 binding to the abasic DNA displaces NTHL1 from its product complex.
44	R-HSA-110351		transition	APEX1	True	True	True	2	0.200	True	nucleoplasm	APE1 takes over the AP site generated by SMUG1, releasing the glycosylase.
45	R-HSA-110354		transition	APEX1	True	True	True	4	0.200	True	nucleoplasm	APE1 displaces OGG1 from the abasic site it created, relieving OGG1 product inhibition.
46	R-HSA-110355		transition	APEX1	True	True	True	3	0.200	True	nucleoplasm	APE1 engagement of the abasic site releases the MUTYH adenine glycosylase.
47	R-HSA-110353		transition	APEX1	True	True	True	4	0.200	True	nucleoplasm	APE1 binding to the CpG abasic site displaces MBD4 from the repair intermediate.
48	R-HSA-111215		transition	PRPS1	True	False	True	5	0.143	True	cytosol	Transfer of the beta,gamma-pyrophosphoryl group of a nucleoside triphosphate (here dATP) to C1 of ribose-5-phosphate, forming PRPP.
49	R-HSA-1112538		transition	STAT1	True	False	True	1	0.250	True	cytosol	Reciprocal SH2-domain docking onto the phosphotyrosine of a partner STAT drives homo- and heterodimerisation without a separate enzyme.
50	R-HSA-111804		transition	RRM1	True	False	True	0	0.000	True	cytosol	Thioredoxin-driven 2'-reduction of the ribose of a ribonucleoside diphosphate is the radical-based ribonucleotide reductase reaction, whose catalytic large subunit is RRM1.
51	R-HSA-111742		transition	RRM1	True	False	True	1	0.286	True	cytosol	Same 2'-OH removal from NDP with glutaredoxin instead of thioredoxin as the dithiol donor regenerating the RNR active-site cysteine pair.
52	R-HSA-1112666		transition	PLCD1	True	False	False	12	1.000	True	cytosol;plasma membrane	Phosphodiesteratic cleavage of the glycerophosphate bond of PI(4,5)P2 releasing soluble IP3 and membrane DAG; the Ca2+-activated delta isozyme is the PI-PLC family member absent from the annotated beta/gamma set.
53	R-HSA-111524		transition	ADSS2	True	False	False	12	0.167	True	cytosol	GTP-dependent condensation of aspartate with the 6-oxo group of IMP to form the amide/C-N bond of adenylosuccinate.
54	R-HSA-111751		transition	RRM1	True	False	True	0	0.000	True	cytosol	Thioredoxin-coupled ribonucleotide 2'-deoxygenation, the second RNR holoenzyme form sharing the same RRM1 catalytic subunit.
55	R-HSA-111924		transition	PRKACA	True	False	True	2	0.200	True	cytosol;nucleoplasm	cAMP-freed PKA catalytic subunit diffuses from cytosol into the nucleoplasm; no bond chemistry, the translocating catalytic species itself is the entity.
56	R-HSA-111956		transition	CALM1	True	False	True	0	0.000	True	cytosol	Ca2+-loaded calmodulin binds the autoinhibitory domain of PDE1 dimers, relieving occlusion of the cyclic-nucleotide catalytic pocket.
57	R-HSA-111919		transition	PRKACA	True	False	True	6	1.000	False	nucleoplasm	Transfer of the ATP gamma-phosphate onto CREB1 Ser133 by the nuclear-translocated cAMP-dependent kinase catalytic subunit, the canonical S133 kinase not covered by the AKT/RSK/CaMK examples.
58	R-HSA-111962		transition	PDE7A	True	False	False	12	1.000	True	cytosol	Hydrolysis of the 3'-phosphodiester bond of cAMP to 5'-AMP by a high-affinity cAMP-specific phosphodiesterase distinct from the PDE1/3/4 isozymes already annotated.
59	R-HSA-112034		transition	PNP	True	False	True	0	0.000	True	cytosol	Phosphorolysis in reverse: attack of the guanine N9 on ribose-1-phosphate/deoxyribose-1-phosphate forming the N-glycosidic bond and releasing Pi.
60	R-HSA-112033		transition	PNP	True	False	True	0	0.000	True	cytosol	Same N-glycosyl transfer chemistry with hypoxanthine as the purine base, giving inosine or deoxyinosine plus phosphate.
61	R-HSA-111970		transition	PRKCA	True	False	True	0	0.000	True	cytosol;plasma membrane	Conventional protein kinase C phosphorylates GRK2 on Ser29 at the membrane, the DAG/Ca2+-activated kinase modifying the GRK2 N-terminus.
62	R-HSA-112149		transition	POLR3A	True	False	True	0	0.000	True	nucleoplasm	Release of the completed transcript and dissociation of the ternary complex at a type 2 (tRNA-class) terminator, executed by the Pol III catalytic core.
63	R-HSA-112150		transition	POLR3A	True	False	True	0	0.000	True	nucleoplasm	Melting of promoter DNA into the open bubble at a type 2 promoter, done intrinsically by Pol III without a TFIIH-like helicase.
64	R-HSA-112054		transition	POLR3A	True	False	True	0	0.000	True	nucleoplasm	Termination and transcript release from a type 3 (SNAPc-dependent) Pol III elongation complex by the polymerase catalytic subunit.
65	R-HSA-112156		transition	POLR3A	True	False	False	12	0.167	True	nucleoplasm	Template-directed nucleotidyl transfer forming phosphodiester bonds from NTPs on a type 3 open promoter complex.
66	R-HSA-112265		transition	TYMP	True	False	True	0	0.000	True	cytosol	Phosphorolytic cleavage of the N-glycosidic bond of thymidine/deoxyuridine to free the pyrimidine base and 2-deoxyribose-1-phosphate.
67	R-HSA-112266		transition	TYMP	True	False	True	0	0.000	True	cytosol	The reverse ribosyl transfer, condensing thymine or uracil with deoxyribose-1-phosphate to form the deoxynucleoside.
68	R-HSA-112153		transition	POLR3A	True	False	False	12	0.167	True	nucleoplasm	RNA chain initiation/elongation by nucleotidyl transfer on a TFIIIA-dependent type 1 (5S) open promoter complex.
69	R-HSA-112055		transition	POLR3A	True	False	True	0	0.000	True	nucleoplasm	Terminator-triggered release of the 5S transcript and collapse of the type 1 Pol III ternary complex.
70	R-HSA-112152		transition	POLR3A	True	False	True	0	0.000	True	nucleoplasm	Strand separation of the type 3 promoter to form the transcription bubble, an intrinsic Pol III activity.
71	R-HSA-112155		transition	POLR3A	True	False	False	12	0.167	True	nucleoplasm	Processive phosphodiester bond formation from NTPs on the type 2 open promoter complex.
72	R-HSA-113409		transition	NELFE	True	False	True	1	0.091	True	nucleoplasm	The RNA-binding NELF-E subunit clamps the nascent short transcript in the DSIF/NELF-paused complex and drives premature transcript release rather than productive elongation.
73	R-HSA-113411		transition	POLR2A	True	False	True	0	0.000	True	nucleoplasm	Sequence-induced backtracking of the Pol II active site off the RNA 3' end converts a processive complex into a paused one.
74	R-HSA-113414		transition	POLR2A	True	False	True	0	0.000	True	nucleoplasm	Deep backtracking that disengages the RNA 3' end from the Pol II catalytic centre, producing an arrested complex.
75	R-HSA-113413		transition	TCEA1	True	False	True	0	0.000	True	nucleoplasm	TFIIS inserts into the Pol II funnel and stimulates intrinsic endonucleolytic cleavage of the backtracked RNA, restoring an aligned 3' end for elongation.
76	R-HSA-112385		transition	POLR2A	True	True	False	12	0.167	True	nucleoplasm	Continued nucleotide addition past promoter escape releases TFIIH and converts the early elongation complex into a processive one.
77	R-HSA-113412		transition	POLR2A	True	True	False	12	0.286	True	nucleoplasm	Template-directed NTP condensation extending the pre-mRNA within the processive Pol II elongation complex.
78	R-HSA-112392		transition	POLR2A	True	False	True	0	0.000	True	nucleoplasm	Forward translocation of the polymerase realigns the RNA 3' end with the active site, spontaneously resolving the pause without a cleavage factor.
79	R-HSA-112396		transition	POLR2A	True	False	True	0	0.000	True	nucleoplasm	Unwinding of the RNA:DNA hybrid and extrusion of the nascent chain through the RNA exit channel separates the uncleaved transcript from the template.
80	R-HSA-112395		transition	TTF2	True	False	True	0	0.000	False	nucleoplasm	ATP-dependent translocase activity strips the terminally arrested Pol II complex off the DNA, releasing the incomplete transcript.
81	R-HSA-114264		transition	VDAC2	True	False	True	0	0.000	True	cytosol;mitochondrial outer membrane	Activated cytosolic BAX is received at the mitochondrial outer membrane by VDAC2, which mediates its insertion and oligomerization in the bilayer.
82	R-HSA-113430		transition	POLR2A	True	True	True	2	0.333	True	nucleoplasm	Threading of the ~30-nt nascent RNA out of the polymerase exit channel, an intrinsic property of the Pol II core.
83	R-HSA-113449		transition	POLR3A	True	False	True	0	0.000	True	nucleoplasm	Pol III stalls at the oligo-dT terminator, converting the elongating ternary complex into the paused state before release.
84	R-HSA-113503		transition	PPP1CA	True	True	False	12	0.444	False	nucleoplasm	Hydrolytic removal of the CDK-added phosphates from hyperphosphorylated RB1, the classic protein phosphatase 1 substrate, restoring damage-response-competent RB1.
85	R-HSA-114553		transition	PRKCA	True	False	False	12	0.167	True	cytosol;plasma membrane	Cooperative C2-domain Ca2+/phosphatidylserine and C1-domain DAG binding recruits the conventional PKC to the membrane and displaces its pseudosubstrate.
86	R-HSA-114307		transition	BAX	True	False	True	0	0.000	True	cytosol;mitochondrial intermembrane space	Oligomeric BAX pores permeabilize the outer mitochondrial membrane, letting DIABLO/Smac escape the intermembrane space into the cytosol.
87	R-HSA-114284		transition	BAX	True	False	True	0	0.000	True	cytosol;mitochondrial intermembrane space	The same BAX-formed macropore in the outer membrane releases cytochrome c to the cytosol.
88	R-HSA-1168777		transition	ADAM17	True	False	True	0	0.000	True	extracellular region;plasma membrane	Metalloprotease ectodomain shedding cleaves the growth hormone receptor stalk, freeing the soluble binding-protein fragment and leaving a membrane stub.
89	R-HSA-1168641		transition	MAP3K7	True	False	True	0	0.000	True	cytosol;plasma membrane	TAK1 phosphorylates the IKK-beta activation loop within the CBM-nucleated complex, activating IKK and releasing it into the cytosol.
90	R-HSA-1181355		transition	ACVR1B	True	False	True	2	0.333	True	cytosol	Type I activin receptor serine/threonine kinase phosphorylates the C-terminal SSXS motif of SMAD2/3, the Nodal-branch receptor kinase.
91	R-HSA-1181152		transition	FURIN	True	False	True	0	0.000	False	extracellular region	Proprotein convertase cleavage at the dibasic site of the NODAL precursor releases the mature signalling dimer.
92	R-HSA-1222417		transition	TXN	True	False	True	0	0.000	False	cytosol	Thiol-disulfide exchange in which a reduced thioredoxin dithiol resolves the peroxiredoxin/AhpC disulfide, becoming oxidized itself.
93	R-HSA-1222376		transition	NOS2	True	False	False	12	1.000	True	cytosol	Uncoupled NADPH oxidation at the flavin/heme centre of inducible nitric oxide synthase transfers a single electron to O2, releasing superoxide.
94	R-HSA-1222431		transition	PRDX5	True	False	True	0	0.000	False	cytosol	Peroxiredoxin peroxidatic cysteine attacks peroxynitrite, reducing it to nitrite and forming the sulfenic/disulfide oxidized enzyme.
95	R-HSA-1218833		transition	HSP90AA1	True	False	True	0	0.000	True	cytosol;plasma membrane	ATP-dependent HSP90 chaperone, with CDC37 as kinase-specific co-chaperone, clamps the EGFR kinase domain to stabilize the mutant receptor.
96	R-HSA-1222469		transition	SOD1	True	True	False	12	1.000	True	cytosol	Cu/Zn-dependent cyclic redox dismutation of two superoxide radicals into H2O2 and O2 in the cytosol.
97	R-HSA-1222346		transition	PRDX1	True	True	True	9	0.200	True	cytosol	Peroxidatic cysteine of a typical 2-Cys peroxiredoxin attacks H2O2, giving water and the oxidized (sulfenylated/disulfide) enzyme.
98	R-HSA-1183128		transition	PADI4	True	False	True	6	0.200	True	cytosol	Ca2+-dependent hydrolysis of the arginine guanidinium group to a ureido group, converting peptidyl-arginine to peptidyl-citrulline with ammonia loss.
99	R-HSA-1222462		transition	SOD1	True	True	False	12	1.000	True	cytosol	Superoxide disproportionation to hydrogen peroxide and dioxygen at the cytosolic copper centre.
100	R-HSA-1222412		transition	DLD	True	False	True	5	0.333	False	cytosol	NADH-dependent re-reduction of the oxidized lipoyl disulfide on the E2 acyltransferase is the flavin-dependent dihydrolipoamide dehydrogenase (E3) half-reaction.
101	R-HSA-1220612		transition	EGFR	True	False	True	0	0.000	True	extracellular region;plasma membrane	Extracellular growth-factor ligand capture by the receptor ectodomain of a chaperone-bound EGFR species.
102	R-HSA-1222399		transition	STEAP3	True	False	False	12	0.308	False	cytosol	NADPH-driven one-electron ferrireduction of chelator-bound Fe3+ that releases free Fe2+ and the apo-siderophore.
103	R-HSA-1222363		transition	MSRA	True	False	True	0	0.000	False	cytosol	Thioredoxin-coupled reduction of a protein-bound methionine sulfoxide back to methionine via a sulfenic-acid intermediate.
104	R-HSA-1222485		transition	TXNRD1	True	False	False	12	0.200	True	cytosol	NADPH-dependent reduction of the active-site disulfide of oxidized thioredoxin by a cytosolic selenoflavoenzyme.
105	R-HSA-1222655		transition	TXN	True	False	True	0	0.000	False	cytosol	Thiol-disulfide exchange that resolves the oxidized peroxiredoxin disulfide, transferring the oxidation onto the reductant's CXXC pair.
106	R-HSA-1222690		transition	DLAT	True	False	True	0	0.000	False	cytosol	Dihydrolipoamide arm of the E2 acyltransferase donates its dithiol electrons to reduce an oxidized thiol-oxidoreductase disulfide.
107	R-HSA-1222583		transition	ADH5	True	False	True	11	0.200	True	cytosol	NADH-dependent reductive denitrosylation of an S-nitrosothiol, releasing ammonia and the thiol disulfide (GSNO-reductase chemistry).
108	R-HSA-1222597		transition	SLC22A17	True	False	True	0	0.000	True	cytosol;peptidoglycan-based cell wall	Import of an intact ferric-siderophore chelate across the cell envelope into the cytosol.
109	R-HSA-1222704		transition	CAT	True	False	False	12	0.500	False	cytosol	Heme-dependent dismutation of two hydrogen peroxide molecules into water and dioxygen.
110	R-HSA-1222755		transition	PRDX5	True	False	True	0	0.000	False	cytosol	Peroxidatic cysteine attacks peroxynitrite, isomerizing/reducing it to nitrite while forming a protein disulfide.
111	R-HSA-1222523		transition	SEC61A1	True	False	True	0	0.000	True	cytosol;periplasmic space	Translocation of a folded/unfolded soluble superoxide dismutase polypeptide across a membrane out of the cytosol.
112	R-HSA-1222526		transition	PRDX6	True	False	True	0	0.000	True	cytosol	Peroxiredoxin-type thiol reduction of an esterified lipid hydroperoxide to the corresponding lipid alcohol.
113	R-HSA-1222644		transition	TXN	True	False	True	0	0.000	False	cytosol	Thioredoxin dithiol resolves the disulfide of a spent thiol peroxidase, recycling it for another peroxide turnover.
114	R-HSA-1222723		transition	CYGB	True	True	False	12	0.200	True	cytosol	Oxyferrous globin performs NO dioxygenation, converting nitric oxide to nitrate and leaving the heme in the ferric state.
115	R-HSA-1222516		transition	HVCN1	True	False	False	12	0.200	True	cytosol;phagocytic vesicle lumen	Electrogenic proton conduction from cytosol into the phagosomal lumen with no ATP hydrolysis, compensating oxidase charge.
116	R-HSA-1234164		transition	HIF1AN	True	False	False	12	0.500	False	cytosol	2-oxoglutarate/O2-dependent beta-hydroxylation of the C-TAD asparagine rather than a proline residue.
117	R-HSA-1234165		transition	EGLN1	True	False	False	12	0.500	False	nucleoplasm	Fe(II)/2OG dioxygenase hydroxylating the HIF-alpha ODD proline, splitting O2 between the substrate and decarboxylated 2OG.
118	R-HSA-1234166		transition	EGLN1	True	False	False	12	0.571	False	nucleoplasm	Dual prolyl 4-hydroxylation of the HIF-2alpha oxygen-degradation domain by an Fe(II)/2OG dioxygenase.
119	R-HSA-1234181		transition	EGLN1	True	False	False	12	0.571	False	nucleoplasm	Dual prolyl 4-hydroxylation of the HIF-1alpha oxygen-degradation domain by an Fe(II)/2OG dioxygenase.
120	R-HSA-1236941		transition	CLTC	True	False	True	0	0.000	True	clathrin-coated endocytic vesicle membrane;plasma membrane	Clathrin-coat assembly drives budding of the receptor-cargo complex from the plasma membrane into a coated vesicle.
121	R-HSA-1236398		transition	ERBB4	True	False	True	0	0.000	True	extracellular region;plasma membrane	Neuregulin/EGF-like ligand binding to the receptor ectodomain that opens its dimerization arm.
122	R-HSA-1236955		transition	RAB5A	True	False	True	0	0.000	True	clathrin-coated endocytic vesicle membrane;early endosome membrane	Rab5-GTP-directed uncoating and fusion delivering coated-vesicle cargo into the early endosomal membrane.
123	R-HSA-1236954		transition	LNPEP	True	False	True	0	0.000	True	early endosome lumen	Endosomal aminopeptidase trimming of an oversized precursor peptide down to a mature antigenic epitope, releasing free amino acids.
124	R-HSA-1236947		transition	SEC61A1	True	False	True	1	0.200	True	cytosol;phagolysosome	Retrotranslocation of partially degraded antigen out of the phagolysosomal lumen into the cytosol through a protein-conducting channel.
125	R-HSA-1236948		transition	CTSS	True	False	True	0	0.000	False	early endosome lumen	Acidic endosomal cysteine-protease endoproteolysis of internalized antigen into long precursor fragments and free amino acids.
126	R-HSA-1237045		transition	CA4	True	False	False	12	0.250	True	extracellular region	Zinc-hydroxide catalyzed hydration of CO2 to bicarbonate on the outer face of the plasma membrane.
127	R-HSA-1237081		transition	CA4	True	False	False	12	0.250	True	extracellular region	Reverse (dehydration) direction of extracellular zinc-hydroxide carbonic anhydrase catalysis, regenerating CO2 from bicarbonate.
128	R-HSA-1237038		transition	SLC4A1	True	False	False	12	0.500	True	cytosol;extracellular region	Electroneutral one-for-one anion exchange of bicarbonate out for chloride in — the tissue-side chloride shift.
129	R-HSA-1237042		transition	AQP1	True	False	False	12	0.333	True	cytosol;extracellular region	Facilitated diffusion of dissolved CO2 through an aquaporin channel pore into the cytosol.
130	R-HSA-1237069		transition	RHAG	True	False	False	12	0.333	True	cytosol;extracellular region	Rh-family gas channel conducting CO2 across the erythrocyte membrane into the cytosol.
131	R-HSA-1237059		transition	CA4	True	False	False	12	0.250	True	extracellular region	Membrane-anchored extracellular carbonic anhydrase dehydrating bicarbonate plus a proton back to CO2 and water.
132	R-HSA-1237096		transition	MRI1	True	False	True	0	0.000	False	cytosol	Aldose-ketose isomerization of 5-methylthioribose-1-phosphate to 5-methylthioribulose-1-phosphate in methionine salvage.
133	R-HSA-1237047		transition	CA4	True	False	False	12	0.250	True	extracellular region	Extracellular hydration of CO2 to H+ and bicarbonate at the cell surface during gas exchange.
134	R-HSA-1237102		transition	KYAT1	True	False	True	5	0.167	True	cytosol	PLP-dependent transamination of 4-methylthio-2-oxobutanoate to L-methionine, the terminal step of the salvage cycle.
135	R-HSA-1237160		transition	MTAP	True	False	True	0	0.000	True	cytosol	Phosphorolysis of the N-glycosidic bond of 5'-methylthioadenosine, releasing adenine and methylthioribose-1-phosphate.
136	R-HSA-1247665		transition	SLC4A1	True	False	False	12	0.500	True	cytosol;extracellular region	Band 3 anion exchanger running in the lung direction: chloride out, bicarbonate in, for CO2 offloading.
137	R-HSA-1247922		transition	GGCT	True	False	True	0	0.000	True	cytosol	Intramolecular cyclization of the gamma-glutamyl amide to 5-oxoproline, liberating the free cysteine.
138	R-HSA-1247645		transition	AQP1	True	False	False	12	0.333	True	cytosol;extracellular region	Aquaporin pore-mediated efflux of dissolved CO2 from cytosol to the extracellular space.
139	R-HSA-1237119		transition	ADI1	True	False	False	12	0.273	True	cytosol	Fe(II)-dependent acireductone dioxygenase cleaving the enediol with O2 to give the 2-oxo acid plus formate.
140	R-HSA-1247910		transition	CNDP2	True	False	True	0	0.000	True	cytosol	Cytosolic metallodipeptidase hydrolysis of the Cys-Gly peptide bond, the last step of glutathione catabolism.
141	R-HSA-1247935		transition	OPLAH	True	False	True	5	0.250	True	cytosol	ATP-dependent ring opening of 5-oxoproline to L-glutamate, closing the gamma-glutamyl cycle.
142	R-HSA-1247649		transition	RHAG	True	False	False	12	0.333	True	cytosol;extracellular region	Rh-associated gas channel conducting CO2 out of the erythrocyte cytosol into plasma.
143	R-HSA-1237129		transition	ENOPH1	True	False	True	0	0.000	True	cytosol	Bifunctional enolase-phosphatase hydrolyzing the phosphate from the enolized diketo intermediate to give acireductone.
144	R-HSA-1237140		transition	APIP	True	False	True	0	0.000	True	cytosol	Class II aldolase-fold dehydratase removing water from methylthioribulose-1-phosphate to the 2,3-diketo intermediate.
