organism,locus,absent_from_feba,min_fit_sig
beril_RalstoniaBSBF1503,RALBFv3_RS00245,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00250,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00255,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00260,0,-0.544
beril_RalstoniaBSBF1503,RALBFv3_RS00265,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00270,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00275,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00280,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00285,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00290,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00295,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00300,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00305,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00310,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00315,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00320,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00325,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00330,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00335,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00340,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00345,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00350,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00355,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00360,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00365,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00370,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00375,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00380,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00385,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00390,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00395,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00400,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00405,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00410,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00415,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00420,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00425,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00430,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00435,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00440,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00445,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00450,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00455,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00460,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00465,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00470,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00475,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00480,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00485,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00490,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00495,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00500,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00505,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00510,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00515,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00520,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00525,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00555,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00560,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00565,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00570,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00575,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00580,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00585,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00590,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00595,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00605,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00610,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00615,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00620,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00625,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00630,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00635,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00640,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00645,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00650,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00655,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00660,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00665,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00670,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00675,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00680,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00685,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00690,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00695,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00700,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00705,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00710,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00715,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00720,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00725,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00730,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00735,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00745,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00750,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00755,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00760,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00765,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00770,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00775,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00780,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00785,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00790,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00795,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00800,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00805,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00815,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00820,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00825,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00830,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00835,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00840,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00845,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00850,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00855,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00860,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00865,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00870,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00875,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00885,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00890,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00895,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00900,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00905,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00910,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00915,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00920,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00925,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00930,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00935,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00940,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00945,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00950,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00955,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00960,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00965,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00970,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00975,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00980,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00985,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00990,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00995,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01000,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01005,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01010,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01015,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01020,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01025,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01030,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01035,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01040,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01045,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01050,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01055,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01060,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01065,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01070,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01075,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01080,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01085,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01090,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01095,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01100,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01105,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01110,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01115,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01120,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01125,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01130,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01135,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01140,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01145,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01150,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01155,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01160,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01165,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01170,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01175,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01180,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01185,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01190,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01195,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01200,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01205,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01210,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01215,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01220,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01225,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01230,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01235,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01240,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01245,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01250,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01255,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01260,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01265,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01270,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01275,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01280,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01285,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01290,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01295,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01300,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01305,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01310,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01315,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01320,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01335,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01340,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01345,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01350,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01355,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01360,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01365,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01370,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01385,0,1.509
beril_RalstoniaBSBF1503,RALBFv3_RS01390,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01395,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01400,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01405,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01410,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01415,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01420,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01425,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01430,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01435,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01440,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01445,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01450,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01455,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01465,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01470,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01475,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01480,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01485,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01490,0,1.248
beril_RalstoniaBSBF1503,RALBFv3_RS01495,0,2.25
beril_RalstoniaBSBF1503,RALBFv3_RS01500,0,1.175
beril_RalstoniaBSBF1503,RALBFv3_RS01505,0,2.187
beril_RalstoniaBSBF1503,RALBFv3_RS01510,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01515,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01520,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01525,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01530,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01535,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01540,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01545,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01550,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01555,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01560,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01565,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01570,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01580,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01585,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01590,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01595,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01600,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01605,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01610,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01615,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01620,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01625,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01630,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01635,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01640,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01645,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01650,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01655,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01660,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01665,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01670,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01675,0,3.511
beril_RalstoniaBSBF1503,RALBFv3_RS01680,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01685,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01690,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01695,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01700,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01705,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01710,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01715,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01720,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01725,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01730,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01735,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01740,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01745,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01750,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01760,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01765,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01770,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01775,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01780,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01785,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01790,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01795,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01805,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01810,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01815,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01820,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01825,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01830,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01835,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01840,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01845,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01850,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01855,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01860,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01865,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01870,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01875,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01880,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01885,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01890,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01895,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01900,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01905,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01920,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01925,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01940,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01945,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01950,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01955,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01960,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01965,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01970,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01975,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01980,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01985,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01990,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS01995,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02000,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02005,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02010,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02015,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02020,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02025,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02030,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02035,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02040,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02045,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02050,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02055,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02060,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02065,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02070,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02100,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02105,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02110,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02115,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02120,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02125,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02130,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02135,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02140,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02145,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02150,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02155,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02160,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02165,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02170,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02175,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02180,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS02185,0,0.0
